                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.169,                 1.8376,                 1.3601,                 0.9001,                0.64492,                0.76667,                0.59754,                0.90124,                 1.1239,                 1.1692,             0.00023422,             0.00023422,             0.00023422
                      2,                0.92276,                0.98379,                 1.1476,                 0.7657,                0.75582,                0.82491,                0.62852,                0.88306,                 1.1533,                 1.1738,             0.00046755,             0.00046755,             0.00046755
                      3,                0.91855,                0.87398,                 1.1591,                0.81732,                0.80063,                0.87627,                 0.6716,                0.87808,                 1.0139,                 1.1712,             0.00069616,             0.00069616,             0.00069616
                      4,                 0.8772,                 0.8007,                 1.1143,                0.80088,                0.79205,                0.85186,                0.68159,                0.81536,                0.85234,                 1.1273,             0.00069279,             0.00069279,             0.00069279
                      5,                   0.86,                0.76912,                 1.1141,                0.88451,                0.80321,                0.89459,                0.69735,                0.82533,                0.69765,                   1.15,             0.00069279,             0.00069279,             0.00069279
                      6,                  0.839,                0.73086,                 1.0971,                0.91016,                0.87735,                0.92902,                 0.7359,                0.75544,                0.63037,                 1.0813,             0.00068573,             0.00068573,             0.00068573
                      7,                0.81726,                 0.6881,                 1.0884,                0.86677,                0.89166,                0.93751,                0.75327,                0.72499,                0.65676,                  1.069,             0.00067866,             0.00067866,             0.00067866
                      8,                0.77604,                0.66325,                  1.071,                 0.9283,                0.80663,                0.91128,                0.72282,                0.80414,                0.66451,                 1.1269,             0.00067159,             0.00067159,             0.00067159
                      9,                0.76351,                0.62738,                 1.0551,                0.95741,                0.89449,                0.95519,                0.76338,                0.73035,                0.56287,                  1.079,             0.00066452,             0.00066452,             0.00066452
                     10,                0.74167,                0.60942,                 1.0625,                0.94782,                0.89417,                0.95201,                0.79092,                0.66282,                0.54451,                 1.0188,             0.00065745,             0.00065745,             0.00065745
                     11,                0.70669,                0.57864,                  1.031,                0.94336,                0.90833,                0.95836,                0.78625,                0.70487,                0.51743,                 1.0442,             0.00065038,             0.00065038,             0.00065038
                     12,                0.70424,                0.55106,                 1.0213,                0.96461,                0.92856,                0.96704,                0.80308,                0.66126,                0.47974,                 1.0301,             0.00064331,             0.00064331,             0.00064331
                     13,                0.72211,                0.57176,                 1.0482,                0.94365,                0.89243,                0.94571,                0.78479,                0.69329,                0.53925,                  1.046,             0.00063625,             0.00063625,             0.00063625
                     14,                0.68744,                0.54028,                 1.0224,                0.95459,                0.93339,                0.96368,                0.82353,                0.61589,                 0.4444,                0.99907,             0.00062918,             0.00062918,             0.00062918
